Word,Count
llamaba,73
bola,73
querer,73
lengua,73
san,73
iglesia,73
pesar,73
blico,73
dan,73
dema,73
carne,73
lobo,72
campo,72
deste,72
libertad,72
loco,72
sito,72
pr,71
razo,71
amigos,71
llegado,71
alto,71
haciendo,71
ocho,71
cari,71
libro,70
leer,70
suya,70
caer,70
amistad,70
rica,70
pudiera,69
traje,69
vitriolo,69
reino,69
cebre,69
andaba,69
cuidado,69
fuerte,69
remedio,69
eres,69
menor,69
peligro,68
au,68
cil,68
arturito,68
pienso,68
iban,68
parecio,68
ar,68
primer,68
entendimiento,68
adonde,68
compan,67
pregunto,67
jam,67
rodrigo,67
lleno,67
labios,67
creer,67
senor,67
tienes,66
diez,66
cierta,66
darle,66
sal,66
batalla,66
abajo,66
debajo,66
padres,66
famoso,66
podri,65
estando,65
especie,65
sab,65
peor,65
quisiera,65
dej,65
llama,65
ase,65
coraz,65
sali,65
cuantos,65
siquiera,65
re,65
cristiano,64
bamos,64
semejante,64
virtud,64
verdadero,64
ante,63
della,63
queda,63
aventura,63
cama,63
poca,63
nico,63
pensamiento,63
dulce,63
desgracia,63
sitio,62
adi,62
muley,62
diablo,62
seguro,62
aventuras,62
quer,62
antiguo,62
pregunt,62
nueva,62
salud,62
gloria,61
hemos,61
gracias,61
cinco,61
cre,61
ndolo,61
espa,61
finalmente,61
llaman,61
aposento,61
capi,61
bar,61
risa,61
matar,61
seis,60
perder,60
mirando,60
toboso,60
queri,60
alta,60
esas,60
presto,60
dejaba,60
hicieron,60
contest,59
mancha,59
suele,59
habe,59
reina,59
pueda,59
dieron,59
alegr,59
engan,59
venido,59
esos,58
instante,58
rita,58
gentes,58
lleg,58
esperanza,58
semejantes,58
barbacana,58
tenga,58
habr,58
sabi,58
presencia,57
lleva,57
luc,57
deja,57
pensamientos,57
nuestros,57
tenia,57
tuviese,57
cristianos,57
acompa,57
vuelto,57
intencio,57
negro,57
temor,57
principio,57
embargo,57
golpe,57
encima,57
fuesen,56
enemigo,56
lucita,56
mirada,56
arte,56
busca,56
extra,56
conciencia,56
costumbre,56
mir,56
sent,56
eugenio,56
nuevas,56
harto,56
fr,56
hambre,56
hacen,56
volvio,56
morir,56
propia,56
hijos,56
hago,56
nimo,56
pas,55
pocas,55
misa,55
joven,55
necesidad,55
dices,55
vestido,55
nigo,55
u,55
ent,55
